group_id,group_name,members_id,members_name
66,Logo,"84","Logo Design"
67,Stationery,"86","Stationery Design"
69,Home,"90","Home insulation"
71,Plumbing,"92","Plumbing"
72,Heat,"93","Heat installation"
74,Boiler,"96","boiler failure rescue"
75,Breakdown,"97","car breakdown rescue"
79,Nongeo,"101","Non-Geo Phone Numbers"
80,Operations,"102,161,164,165,166,208,220,227,247,255,275,276,388,327,394,412,421","Online Call Management,Music Management,Music Publishing,Crisis & Risk Management,Branding & Reputation Management,Property management,Change Management,Social Media Management,Contract Administration,Construction Management,Project Management,Programme Management,Hotel Project Management,Payroll Management,Stage management,People Management,Content Management"
81,Industry,"103","Industry Leading Rebates"
82,Numbers,"104,105,107,106","0800 Numbers,0844 Numbers,0845 Numbers,03 Numbers"
84,Product,"109,279","product rendering,Product Development"
86,Projects,"111","VR and AR projects"
93,Mortgages,"119,121","Mortgages Advice,Buy to Let Mortgages"
94,Loans,"120,140","Secured Loans,Unsecured loans"
96,First,"122,186","First Time Buyer Mortgages,First Aid"
97,Right,"123","Right to Buy"
98,Insurance,"124","Insurance"
99,Google,"125,202","Google street view tours,google"
100,Corporate,"126,427,510,331","Corporate Video,Corporate photography,Videos - Corporate,Corporate Finance"
103,Bespoke,"130","Bespoke 360 tours"
105,Audiovisual,"132","Audiovisual Communication"
107,Mobile,"135","Mobile"
111,Finance,"139","Finance solutions"
113,Commercial,"142,428","Commercial mortgages,Commercial Photography"
115,Voip,"145","VoIP telephony"
120,Compliance,"150","Compliance"
125,Conferences,"155","Conferences"
127,Thought,"157","Thought leadership"
130,Independent,"160","Independent Record Label"
133,Sound,"163,341,392","Sound Recording,Sound,Sound Hire"
136,Employee,"167,216","Employee Engagement & Labor Communications,Employee Engagement"
138,Relations,"169,492","Media Relations,Public relations"
142,Content,"173,226,317,318","Content Creation,Content Marketing,Content Production,Media Production"
143,Video,"174,222,357,362,363","Video Production,Videography,Video,Music Video,Fashion Video"
144,Paid,"175","Paid internship programmes"
146,Mentoring,"178","Mentoring"
149,Kinesiology,"181","Kinesiology"
150,Physiotherapy,"182","Physiotherapy"
151,Chiropractor,"183","Chiropractor"
152,Osteopathy,"184","Osteopathy"
153,Personnel,"185,472","Sports Clubs & Teams,STAFFING AGENCY"
155,Science,"187","Science Festivals"
157,Luxury,"189","Luxury garments"
158,Hoodies,"190","Hoodies"
159,Tees,"191","Tees"
160,Hats,"192","Hats"
162,Leadership,"194","Leadership Inclusion"
163,Beauty,"195","Beauty Industry"
166,Advertsing,"198,338,366","advertsing,advertising,Adverts"
169,Facebook,"203","facebook"
170,Meta,"205","meta"
172,Lettings,"207","Lettings"
174,Estate,"209,375","Real estate agencies,estate agency"
175,Real,"210,444","Real estate,Real estate investment"
178,Upskilling,"215","Upskilling"
179,Genai,"217","GenAI Adoption"
183,Photography,"221,429,424,425,431,430","E-commerce photography,Product Photography,Photography,Event photography,Party Photography,Pet Photography"
187,Blog,"229","Blog Articles"
189,Medical & Healthcare,"231,299,447,464,469","Hospitality,Women's Health,Diagnostics,Healthcare,NURSERY"
190,Hospitality,"232,268,270,386,387,389,416,512","Hotels and similar accommodation,online travel,travel inspiration,Group Travel,Hotels for Groups,Tailored Group Stays,Online Booking,5 Star Hotel"
191,Library,"233","Library"
192,Food & Beverage,"234,235,236,377,480,481","All-day dining,Private dining,Cocktail bar,Beverage Manufacturing,Licensed restaurants,Fine dining"
195,Live,"237,460,507","Live music entertainment,live,Live Events"
197,Devops,"240","DevOps"
199,Startups,"242","MVP for Startups"
202,Cost,"246","Cost Control"
207,Planning,"252","Planning Applications"
211,Implementation,"256","SAN and NAS implementation"
213,Back,"258","Back up and recovery"
214,Backend,"261","Back-end development"
216,Wireframing,"263","Wireframing"
217,Responsive,"265","Responsive design"
221,Honeymoons,"271","honeymoons"
222,Short,"272","short breaks"
224,Agile,"278,283","Agile Coaching,Agile"
227,Delivery,"282","Delivery"
230,Employer,"287","Employer branding"
232,Storytelling,"291","storytelling"
233,Breast,"293","Breast"
234,Dermatology,"294","Dermatology"
235,Sports,"295","Sports Injury"
236,Vascular,"296","Vascular"
237,Gilmore,"297","Gilmore Groin"
238,Hernia,"298","Hernia"
240,Rectal,"300","Rectal"
241,Xray,"301","X-ray and Imaging"
242,Mammography,"302","Mammography"
244,Packaging,"304","Packaging"
246,Storage,"306","Storage"
247,Boxes,"307","Boxes"
248,Space,"308","Space"
253,Scrum,"316","Scrum Master"
254,Motion,"319","Motion picture production"
255,Television,"320","Television programme production"
257,Accountants,"323,324","Chartered Accountants,Accountants"
258,Xero,"325","Xero Accountants"
259,Quickbooks,"326","QuickBooks Accountants"
266,Print,"336","print"
267,Web,"337,346","web,Web apps"
269,Wordpress,"342,345","WordPress,WooCommerce"
271,Mysql,"344","MySQL"
273,React,"348,422","React,React.js"
275,Single,"350","Single Sign On"
279,Access,"354","Access Control"
282,Office,"360","Office Space"
283,Unbranded,"361","Unbranded Prestgious W1 address"
284,Branded,"364","Branded Content"
285,Commericals,"365","Commericals"
286,Documentaries,"367","Documentaries"
287,Ddos,"368","DDoS Protected Hosting"
288,Managed,"369,372","Managed VPS Hosting,Managed Dedicated Servers"
289,Cpanel,"370","cPanel Shared Hosting"
290,Reseller,"371","Reseller Hosting"
291,Semidedicated,"373","Semi-Dedicated Hosting"
292,Domains,"374","and Domains & SSL Certificates"
295,Wine,"380","Wine Production"
296,Equipment,"381,396,397,438,439","Event production equipment,Event Production,Equipment Hire,Single cell tools,Spatial biology tools"
297,Appliances,"382","Appliances"
298,Electrical,"383","Electrical"
299,Electronics,"384","Electronics Manufacturing"
300,Wholesale,"385","Wholesale of electrical household appliances"
303,Lighting,"391","Lighting Hire"
308,Rigging,"398","Rigging Hire"
309,Stage,"399","Stage Hire"
310,Media,"401,402,493","Online media delivery,Packaged media delivery,Media"
311,Drmprotected,"403","DRM-protected downloads"
312,Robotics,"404","Robotics development"
313,Tile,"405","Tile grouting robot"
318,Appointment,"415","Appointment Scheduling"
322,Html,"419","HTML / CSS"
323,Javascript,"420","JavaScript"
328,Lifestyle,"426","Lifestyle photography"
332,Prheadshot,"433","PR/Headshot Photography"
333,Banking,"434","banking transformation"
334,Core,"435","core banking"
342,Facilities,"443","Company building"
343,Private,"445","Private debt"
344,Advisory,"446","Advisory mandates"
347,Cervical,"449","Cervical Cancer"
348,Computational,"451","Computational Biology"
349,Human,"452","Human Papillomavirus"
352,Podcasting,"456,457","podcasting,podcasts"
353,Sponsorship,"458","sponsorship"
354,Patreon,"459","patreon"
358,Fundraising,"463","Fundraising"
360,Campaigns,"465","Campaigns"
361,Early,"467","EARLY YEARS"
362,Childcare,"468","CHILDCARE"
364,Creche,"470","CRECHE"
365,Eyfs,"471","EYFS"
368,Permanent,"474","PERMANENT JOBS"
369,Events,"475","events"
374,Tasting,"482","Tasting menus"
378,Investigations,"486","Investigations"
386,Journalism,"495","Journalism"
388,Filming,"503,509","Filming location hire,Filming - Short/Features"
389,Postproduction,"505","Post-production"
